Date,Hour,Minute,Volume
20190118,24,0,12025.70
20190119,1,0,12102.20
20190119,2,0,12063.00
20190119,3,0,12095.00
20190119,4,0,12194.70
20190119,5,0,12324.00
20190119,6,0,12159.70
20190119,7,0,12260.40
20190119,8,0,13382.20
20190119,9,0,13966.20
20190119,10,0,14543.30
20190119,11,0,14679.10
20190119,12,0,14835.20
20190119,13,0,14868.90
20190119,14,0,14701.40
20190119,15,0,14805.30
20190119,16,0,15018.60
20190119,17,0,15808.20
20190119,18,0,16880.70
20190119,19,0,16350.70
20190119,20,0,15752.40
20190119,21,0,15207.30
20190119,22,0,14533.90
20190119,23,0,13517.20
20190119,24,0,12360.70
20190120,1,0,11509.10
20190120,2,0,11374.30
20190120,3,0,11430.50
20190120,4,0,11420.40
20190120,5,0,11379.80
20190120,6,0,11546.60
20190120,7,0,11989.10
20190120,8,0,12563.30
20190120,9,0,13169.50
20190120,10,0,13823.10
20190120,11,0,14236.90
20190120,12,0,14374.60
20190120,13,0,14331.30
20190120,14,0,14335.90
20190120,15,0,14444.00
20190120,16,0,15031.40
20190120,17,0,16239.00
20190120,18,0,17496.70
20190120,19,0,17269.40
20190120,20,0,16852.20
20190120,21,0,16398.00
20190120,22,0,15505.80
20190120,23,0,14554.70
20190120,24,0,13513.10
20190121,1,0,13735.40
20190121,2,0,13710.00
20190121,3,0,13626.90
20190121,4,0,13742.60
20190121,5,0,13752.70
20190121,6,0,14458.40
20190121,7,0,16035.20
20190121,8,0,17205.30
20190121,9,0,17565.80
20190121,10,0,18137.10
20190121,11,0,18460.90
20190121,12,0,18631.20
20190121,13,0,18620.30
20190121,14,0,18404.90
20190121,15,0,18408.10
20190121,16,0,18546.10
20190121,17,0,19473.70
20190121,18,0,20606.80
20190121,19,0,20177.20
20190121,20,0,19570.40
20190121,21,0,18664.80
20190121,22,0,17383.70
20190121,23,0,16147.90
20190121,24,0,14835.30
20190122,1,0,14098.50
20190122,2,0,14056.40
20190122,3,0,13823.70
20190122,4,0,13840.80
20190122,5,0,14203.70
20190122,6,0,15033.80
20190122,7,0,17118.70
20190122,8,0,18140.70
20190122,9,0,17682.60
20190122,10,0,17246.30
20190122,11,0,16916.30
20190122,12,0,16157.30
20190122,13,0,16066.60
20190122,14,0,15709.10
20190122,15,0,15843.90
20190122,16,0,16054.90
20190122,17,0,17010.80
20190122,18,0,18328.70
20190122,19,0,18212.00
20190122,20,0,17742.00
20190122,21,0,17069.40
20190122,22,0,15939.00
20190122,23,0,14880.90
20190122,24,0,13895.70
20190123,1,0,14300.20
20190123,2,0,14019.60
20190123,3,0,13924.50
20190123,4,0,14026.90
20190123,5,0,14137.90
